IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2007-2132,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2133,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2137,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2147,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2149,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2171,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2266,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2325,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2352,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2367,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2418,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2419,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2446,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2503,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2508,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2582,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2638,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2639,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2687,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2713,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2719,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2783,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2815,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2831,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2967,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2974,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3010,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3047,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3279,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3336,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3338,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3357,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3465,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3500,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-3643,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-3647,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-3907,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-3911,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4074,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4121,HIGH,10,11.65932578,,,,,,,,,,,,
